index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110505,2019-10-20,2,12,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,C154,N Callan,C W Chang,123,10,H/XB2,50,-3,1062,-19,1.11.38,3,*1,13/9/4/7/4,12,9-12-12,9,12,12,0,0,0,2504,2261,2327,0,0,0,7092,7.5,10.25,15.5,0,0,0,29,"HK$ 967,000",15-1/2,99.0,99.0,31.0,54.0,0,0
110506,2019-10-20,2,13,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,A296,K Teetan,W Y So,119,11,B/E/TT,46,-1,1129,+9,1.08.76,6,+1,4/3/11/6/8/7,4,5-5-4,5,5,4,0,0,0,2464,2225,2202,0,0,0,6891,5,5.5,2.75,0,0,0,19,"HK$ 967,000",2-3/4,13.0,17.0,3.4,4.2,0,0
110507,2019-10-20,2,14,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,B302,T H So,C Fownes,113,5,B-/TT-,40,-5,1078,+23,1.11.16,5,1,8/7/12/9/9/6,9,8-8-9,8,8,9,0,0,0,2500,2237,2234,0,0,0,6971,7.25,8.5,7.75,0,0,0,111,"HK$ 967,000",7-3/4,49.0,75.0,11.0,15.0,0,0
110508,2019-10-20,3,1,ST,TURF,GOOD TO FIRM,A,Hong Kong Group Two,1200,6883,2463,2246,2174,0,0,0,A257,B Shinn,J Size,133,5,B-/TT1,124,-2,1082,+21,1.08.63,6,,4/6/7/10/2/1,8,7-8-8,7,8,8,0,0,0,2535,2234,2195,0,0,0,6964,4.5,3.75,5,0,0,0,287,"HK$ 4,250,000",5,20.0,34.0,3.7,6.8,0,0
110509,2019-10-20,3,2,ST,TURF,GOOD TO FIRM,A,Hong Kong Group Two,1200,6883,2463,2246,2174,0,0,0,A061,C Schofield,R Gibson,132,8,B,123,0,1145,+4,1.08.14,6,,6/2/1/4/3/4,4,1-1-4,1,1,4,0,0,0,2463,2246,2186,0,0,0,6894,0.5,0.75,0.75,0,0,0,19,"HK$ 4,250,000",3/4,9.2,9.6,2.2,2.5,0,0
110510,2019-10-20,3,3,ST,TURF,GOOD TO FIRM,A,Hong Kong Group Two,1200,6883,2463,2246,2174,0,0,0,V325,Z Purton,P O'Sullivan,131,4,,122,0,1205,+32,1.09.35,6,,4/5/3/10/4/6,5,6-5-5,6,5,5,0,0,0,2515,2234,2162,0,0,0,6911,3.25,2.5,1.75,0,0,0,147,"HK$ 4,250,000",1-3/4,4.3,3.0,1.8,1.2,0,0
110511,2019-10-20,3,4,ST,TURF,GOOD TO FIRM,A,Hong Kong Group Two,1200,6883,2463,2246,2174,0,0,0,B180,C Y Ho,R Gibson,127,2,B,118,+1,1191,+12,1.08.55,6,,3/5/3/7/1/1,3,5-6-3,5,6,3,0,0,0,2511,2238,2138,0,0,0,6886,3,2.5,N,0,0,0,19,"HK$ 4,250,000",N,11.0,15.0,2.0,2.5,0,1
110512,2019-10-20,3,5,ST,TURF,GOOD TO FIRM,A,Hong Kong Group Two,1200,6883,2463,2246,2174,0,0,0,V410,G van Niekerk,C S Shum,125,7,TT,116,0,1045,-4,1.08.32,7,,2/2/4/6/5/5,1,8-7-1,8,7,1,0,0,0,2539,2230,2114,0,0,0,6883,4.75,3.75,SH,0,0,0,49,"HK$ 4,250,000",SH,11.0,8.3,2.1,1.9,1,1
110513,2019-10-20,3,6,ST,TURF,GOOD TO FIRM,A,Hong Kong Group Two,1200,6883,2463,2246,2174,0,0,0,C003,J Moreira,J Size,120,3,,111,+8,1164,+1,1.08.45,5,,1/4/2/2/1/1,2,4-4-2,4,4,2,0,0,0,2491,2246,2148,0,0,0,6885,1.75,1.75,SH,0,0,0,19,"HK$ 4,250,000",SH,1.8,2.3,1.1,1.3,0,1
110514,2019-10-20,3,7,ST,TURF,GOOD TO FIRM,A,Hong Kong Group Two,1200,6883,2463,2246,2174,0,0,0,B105,K Teetan,J Moore,116,6,B/XB,107,0,1244,+3,1.09.21,6,,7/7/1/2/8/2,6,2-2-6,2,2,6,0,0,0,2471,2250,2212,0,0,0,6933,0.5,0.75,3.25,0,0,0,98,"HK$ 4,250,000",3-1/4,18.0,8.7,3.5,1.9,0,0
