age,tname,jname,rating,track,bardraw,besttime,going,win_t5,place_t5,ind_win,ind_pla
4.0,0.3225806451612903,0.40131578947368424,69.0,1,8.0,69.93,2,4.9,1.9,0,0
5.0,0.22988505747126436,0.1276595744680851,66.0,1,7.0,83.01335999999999,2,99.0,20.0,0,0
5.0,0.3270440251572327,0.28,65.0,1,6.0,70.8,2,28.0,5.2,0,0
0.0,0.0,0.0,0.0,1,0.0,83.01335999999999,2,0.0,0.0,0,0
3.0,0.16666666666666666,0.14285714285714285,62.0,1,11.0,70.16,2,7.7,1.9,0,0
6.0,0.23148148148148148,0.3613861386138614,61.0,1,5.0,69.35,2,27.0,4.0,0,1
3.0,0.5035460992907801,0.45806451612903226,61.0,1,3.0,70.4,2,1.8,1.2,1,1
6.0,0.232,0.49444444444444446,60.0,1,6.0,138.0,2,4.0,1.4,0,0
5.0,0.25,0.21374045801526717,53.0,1,1.0,137.34,2,14.0,2.9,0,0
8.0,0.2288135593220339,0.1511627906976744,50.0,1,4.0,83.01335999999999,2,16.0,3.0,0,0
4.0,0.25,0.3613861386138614,49.0,1,3.0,136.85,2,1.8,1.2,1,1
6.0,0.22988505747126436,0.45806451612903226,44.0,1,5.0,137.04,2,8.9,1.9,0,1
8.0,0.16666666666666666,0.19318181818181818,44.0,1,7.0,137.28,2,14.0,2.5,0,1
5.0,0.23148148148148148,0.40131578947368424,40.0,1,2.0,83.01335999999999,2,8.6,1.8,0,0
6.0,0.5035460992907801,0.45806451612903226,38.0,1,3.0,57.79,2,3.7,1.7,0,0
5.0,0.2288135593220339,0.1511627906976744,37.0,1,7.0,83.01335999999999,2,23.0,5.8,0,0
5.0,0.25,0.21374045801526717,34.0,1,2.0,58.53,2,4.1,1.6,0,0
6.0,0.16666666666666666,0.49444444444444446,32.0,1,5.0,57.4,2,6.6,1.9,1,1
8.0,0.18292682926829268,0.14285714285714285,31.0,1,11.0,57.16,2,23.0,5.6,0,1
4.0,0.24528301886792453,0.23255813953488372,28.0,1,6.0,58.06,2,11.0,3.5,0,0
4.0,0.232,0.28,26.0,1,10.0,83.01335999999999,2,23.0,7.4,0,0
5.0,0.16666666666666666,0.3613861386138614,23.0,1,4.0,57.68,2,9.9,3.1,0,0
8.0,0.2818181818181818,0.19318181818181818,23.0,1,1.0,57.5,2,8.9,2.7,0,0
5.0,0.2818181818181818,0.224,22.0,1,9.0,57.71,2,9.3,2.6,0,1
5.0,0.16666666666666666,0.19736842105263158,18.0,1,8.0,58.21,2,59.0,10.0,0,0
6.0,0.22988505747126436,0.16296296296296298,60.0,1,2.0,101.09,2,39.0,6.3,0,0
5.0,0.2818181818181818,0.224,58.0,1,1.0,100.67,2,10.0,3.0,0,0
3.0,0.2972972972972973,0.23636363636363636,53.0,1,6.0,83.01335999999999,2,9.0,2.3,0,0
4.0,0.232,0.49444444444444446,52.0,1,3.0,83.01335999999999,2,5.5,2.1,0,0
4.0,0.5035460992907801,0.45806451612903226,52.0,1,5.0,83.01335999999999,2,36.0,5.6,0,0
7.0,0.18292682926829268,0.40131578947368424,51.0,1,4.0,99.11,2,2.2,1.2,0,0
6.0,0.34814814814814815,0.28,50.0,1,10.0,102.05,2,21.0,4.3,0,1
5.0,0.25,0.3613861386138614,48.0,1,8.0,101.03,2,5.5,1.9,1,1
6.0,0.1610738255033557,0.1511627906976744,47.0,1,7.0,100.11,2,13.0,2.5,0,1
4.0,0.14150943396226415,0.19736842105263158,42.0,1,9.0,83.01335999999999,2,99.0,15.0,0,0
5.0,0.16666666666666666,0.09803921568627451,41.0,1,11.0,101.47,2,99.0,15.0,0,0
6.0,0.1610738255033557,0.40131578947368424,60.0,1,8.0,100.41,2,7.6,2.3,0,1
5.0,0.3270440251572327,0.1276595744680851,58.0,1,10.0,100.22,2,19.0,4.9,0,0
4.0,0.34814814814814815,0.3613861386138614,57.0,1,1.0,101.38,2,6.9,2.5,0,0
5.0,0.2818181818181818,0.224,55.0,1,2.0,100.58,2,20.0,5.1,0,0
5.0,0.16666666666666666,0.19318181818181818,53.0,1,3.0,100.21,2,6.9,2.5,0,0
6.0,0.3225806451612903,0.1958762886597938,49.0,1,4.0,100.89,2,8.1,2.6,1,1
5.0,0.232,0.49444444444444446,49.0,1,6.0,100.24,2,3.8,2.0,0,0
